categoria,perfil,quantidade,comprimento_total_m,massa_kg
CLIPE_TERCA_04_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_04_03,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_04_04,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_04_05,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_04_06,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_01,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_02,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_03,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_04,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_05,Clipes de apoio (conexao),chapa-8,0.0,0.68
CLIPE_TERCA_05_06,Clipes de apoio (conexao),chapa-8,0.0,0.68
CONDUTOR_D_00,Condutores,tubo-100x3,5850.0,41.98
CONDUTOR_D_10,Condutores,tubo-100x3,5850.0,41.98
CONDUTOR_D_20,Condutores,tubo-100x3,5850.0,41.98
CONDUTOR_E_00,Condutores,tubo-100x3,5850.0,41.98
CONDUTOR_E_10,Condutores,tubo-100x3,5850.0,41.98
CONDUTOR_E_20,Condutores,tubo-100x3,5850.0,41.98
CONEX_GUSSET_COB_01_00_00,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_01_00_10,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_01_05_00,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_01_05_10,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_02_15_00,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_02_15_10,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_02_20_00,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_COB_02_20_10,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_01_00_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_01_00_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_01_05_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_01_05_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_02_15_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_02_15_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_02_20_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_D_02_20_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_01_00_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_01_00_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_01_05_B,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_01_05_T,Chapas gusset (contravento),chapa-12,0.0,1.06
CONEX_GUSSET_PAR_E_02_15_B,Chapas gusset (contravento),chapa-12,0.0,1.06
